"Composer","DOB"
"Vincenzo Bellavere","1540"
"Giulio Belli","1560"
"Paulo Bellinati","1950"
"Vincenzo Bellini","1801"
"Paolo Benedetto Bellinzani","1682"
"Carl Michael Bellman","1740"
"Teresa Belloc-Giorgi","1784"
"Herman Bellstedt","1858"
"Herman Bemberg","1859"
"Antonia Bembo","1640"
"Ofer Ben-Amots","1955"
"Barbara Benary","1946"
"Chiara Benati","1956"
"Ralph Benatzky","1884"
"Karl Hermann Heinrich Benda","1748"
"Felix Benda","1708"
"Franz Benda","1709"
"Friedrich Benda","1745"
"Jiří Antonín Benda","1722"
"Johann Georg Benda","1713"
"Joseph Benda","1724"
"Franz Bendel","1833"
"Victor Bendix","1851"
"Karel Bendl","1838"
"Josefina Benedetti","1953"
"Julius Benedict","1814"
"Juraj Beneš","1940"
"Orazio Benevoli","1605"
"Soledad Bengoecha de Cármena","1849"
"Paul Ben-Haim","1897"
"Arthur Benjamin","1893"
"George Benjamin","1960"
"Tim Benjamin","1975"
"John Bennet","1575"
"John Bennett","1735"
"Richard Rodney Bennett","1936"
"Robert Russell Bennett","1894"
"William Sterndale Bennett","1816"
"Peter Benoit","1834"
"Jørgen Bentzon","1897"
"Niels Viggo Bentzon","1919"
"Pierre-Jean de Béranger","1780"
"Angelo Berardi","1636"
"Frédéric Bérat","1801"
"Cathy Berberian","1925"
"Jacquet de Berchem","1505"
"Maksym Berezovsky","1745"
"Alban Berg","1885"
"Gunnar Berg","1909"
"Natanael Berg","1879"
"Petar Bergamo","1930"
"Irénée Berge","1867"
"Arthur Berger","1925"
"Jean Berger","1909"
"Jonathan Berger","1954"
"Ludwig Berger","1777"
"Theodor Berger","1905"
"Andreas Peter Berggreen","1801"
"Gertrude van den Bergh","1793"
"Sverre Bergh","1915"
"Anders Berglund","1948"
"Erik Bergman","1911"
"William Bergsma","1921"
"Carl Axel Bergström","1864"
"Carl Bergstrøm-Nielsen","1951"
"Luciano Berio","1925"
"Charles Auguste de Bériot","1802"
"Charles-Wilfrid de Bériot","1833"
"Lennox Berkeley","1903"
"Michael Berkeley","1948"
"Christine Berl","1943"
"Irving Berlin","1888"
"Johan Daniel Berlin","1714"
"Herman Berlinski","1910"
"Hector Berlioz","1803"
"Bart Berman","1938"
"Derek Bermel","1967"
"Juan Bermudo","1510"
"Ercole Bernabei","1622"
"Giuseppe Antonio Bernabei","1649"
"Miguel Bernal Jiménez","1910"
"Carmelo Bernaola","1929"
"Felix Bernard","1897"
"Stefano Bernardi","1577"
"Bernart de Ventadorn","1130"
"Gerald Tyrwhitt-Wilson","1883"
"Christoph Bernhard","1628"
"Nicolas Bernier","1664"
"Elmer Bernstein","1922"
"Catalina Berroa","1849"
"Leonard Bernstein","1918"
"Antonio Bertali","1605"
"Heinrich Berté","1858"
"Giovanni Pietro Berti","1590"
"Louise Bertin","1805"
"Toussaint Bertin de la Doué","1680"
"Henri Bertini","1798"
"Joseph Bertolozzi","1959"
"Henri Montan Berton","1767"
"Pierre Montan Berton","1727"
"Georg von Bertouch","1668"
"Antoine de Bertrand","1530"
"Arturo Berutti","1858"
"Franz Berwald","1796"
"Johan Fredrik Berwald","1787"
"Jean-Baptiste Besard","1567"
"Alessandro Besozzi","1702"
"Antonio Besozzi","1714"
"Carlo Besozzi","1738"
"Cristoforo Besozzi","1661"
"Francesco Besozzi","1766"
"Gaetano Besozzi","1727"
"Girolamo Besozzi","1745"
"Giuseppe Besozzi","1686"
"Henri Besozzi","1775"
"Louis Désiré Besozzi","1814"
"Paolo Girolamo Besozzi","1704"
