"Composer","DOB"
"Hilding Rosenberg","1892"
"Jakob Rosenhain","1813"
"Johann Rosenmüller","1619"
"Manuel Rosenthal","1904"
"Antonio Rosetti","1750"
"Nikolai Roslavets","1881"
"Arnold Rosner","1945"
"Jerry Ross","1926"
"Philip Rosseter","1567"
"Camilla de Rossi","1707"
"Lauro Rossi","1810"
"Luigi Rossi","1597"
"Michelangelo Rossi","1601"
"Roger Rossi","1940"
"Salamone Rossi","1570"
"Gioachino Rossini","1792"
"Nino Rota","1911"
"Johann Christoph Rothe","1653"
"Hans Rott","1858"
"Christopher Rouse","1949"
"Jean-Jacques Rousseau","1712"
"Albert Roussel","1869"
"Giovanni Rovetta","1596"
"Francesco Rovigo","1540"
"Edwin Roxburgh","1937"
"Joseph-Nicolas-Pancrace Royer","1705"
"Miklós Rózsa","1907"
"Jacek Różycki","1635"
"Edmund Rubbra","1901"
"Anton Rubinstein","1829"
"Nikolai Rubinstein","1835"
"Sharon Ruchman","1949"
"Poul Ruders","1949"
"Dane Rudhyar","1895"
"Ernst Rudorff","1840"
"Vincenzo Ruffo","1508"
"Giovanni Maria Ruggieri","1665"
"Carl Ruggles","1876"
"Carl Friedrich Rungenhagen","1778"
"Conrad Rupsch","1520s"
"Claudia Rusca","1593"
"Craig H. Russell","1951"
"Luigi Russolo","1883"
"Friedrich Wilhelm Rust","1739"
"Giacomo Rust","1741"
"Giovanni Marco Rutini","1723"
"John Rutter","1945"
"Jakub Jan Ryba","1765"
"Joseph Ryelandt","1870"
"Frederic Rzewski","1938"
"Mart Saar","1882"
"Kaija Saariaho","1952"
"Bernardo Sabadini","1662"
"Antonio Sacchini","1730"
"Nick Sackman","1950"
"Francesco Sacrati","1605"
"Shigeaki Saegusa","1942"
"Harald Sæverud","1897"
"Jacques de Saint-Luc","1616"
"Camille Saint-Saëns","1835"
"Monsieur de Sainte-Colombe","1640"
"Ryuichi Sakamoto","1952"
"Nicola Sala","1713"
"Antonio de Salazar","1650"
"Luis H. Salgado","1903"
"Antonio Salieri","1750"
"Aulis Sallinen","1935"
"Erkki Salmenhaara","1941"
"Johann Peter Salomon","1745"
"Esa-Pekka Salonen","1958"
"Timothy Salter","1942"
"Michael Salvatori","1954"
"Spyridon Samaras","1861"
"Giovanni Battista Sammartini","1701"
"Giuseppe Sammartini","1695"
"Giovanni Felice Sances","1600"
"Carlos Sandoval","1956"
"Greg Sandow","1943"
"Jan Sandström","1954"
"Sven-David Sandström","1942"
"Sandrin Pierre Regnault","1490"
"Ramon Santos","1941"
"Gaspar Sanz","1640"
"Lucio D. San Pedro","1913"
"Claudio Saracini","1586"
"Pablo de Sarasate","1844"
"Vahram Sargsyan","1981"
"Domenico Sarro","1679"
"Giuseppe Sarti","1729"
"Antonio Sartorio","1630"
"Erik Satie","1866"
"Emil von Sauer","1862"
"Henri Sauguet","1901"
"Matt Savage","1992"
"David Sawer","1961"
"Robert Saxton","1953"
"Fazıl Say","1970"
"Ahmed Adnan Saygun","1907"
"Marco Scacchi","1600"
"Alessandro Scarlatti","1660"
"Domenico Scarlatti","1685"
"Francesco Scarlatti","1666"
"Giuseppe Scarlatti","1718"
"Pietro Filippo Scarlatti","1679"
"Andrea Lorenzo Scartazzini","1971"
"Giacinto Scelsi","1905"
"Theodor von Schacht","1748"
"Benedikt Schack","1758"
"Pierre Schaeffer","1910"
"R. Murray Schafer","1933"
"Christoph Schaffrath","1709"
"Walter Scharf","1910"
"Philipp Scharwenka","1847"
"Xaver Scharwenka","1850"
"Peter Schat","1935"
"Klaus Schedl","1966"
"Johann Adolph Scheibe","1708"
"Heinrich Scheidemann","1595"
"Gottfried Scheidt","1593"
"Samuel Scheidt","1587"
"Johann Schein","1586"
"Johann Schelle","1648"
"Johannes Schenck","1660"
"Johann Baptist Schenk","1753"
"Heinrich Schenker","1868"
"Martin Scherber","1907"
"Tona Scherchen","1938"
"Sebastian Anton Scherer","1631"
"Peter Schickele","1935"
"Lalo Schifrin","1932"
"Melchior Schildt","1592"
"Max von Schillings","1868"
"Poul Christian Schindler","1648"
"Iris ter Schiphorst","1956"
"Arnolt Schlick","1460"
"Paul de Schlözer","1841"
"Martin Schlumpf","1947"
"Johann Heinrich Schmelzer","1620"
"Ludwig Schmidseder","1904"
"Franz Schmidt","1874"
"Irmin Schmidt","1937"
"Aloys Schmitt","1788"
"Florent Schmitt","1870"
"Joseph Schmitt","1734"
"Artur Schnabel","1882"
"Dieter Schnebel","1930"
"Alfred Schnittke","1934"
"Johann Schobert","1735"
"Othmar Schoeck","1886"
"Arnold Schoenberg","1874"
"Bernhard Scholz","1835"
"Philipp Schöndorff","1558"
"Paul Schoenfield","1947"
"Johann Schop","1590"
"Claude-Michel Schönberg","1944"
"Carl Siegemund Schönebeck","1758"
"Anne van Schothorst","1974"
"Franz Schreker","1878"
"Friedrich Schröder","1910"
"Corona Schröter","1751"
"Franz Schubert","1797"
"Erwin Schulhoff","1894"
"Julius Schulhoff","1825"
"Gunther Schuller","1925"
"Andrew Schultz","1969"
"Johannes Schultz","1582"
"Mark Schultz","1970"
"Svend Simon Schultz","1913"
"Johann Abraham Peter Schulz","1747"
"Klaus Schulze","1947"
"William Schuman","1910"
"Clara Schumann","1819"
"Robert Schumann","1810"
"Ludwig Schuncke","1810"
"Georg Caspar Schürmann","1672"
"Joseph Schuster","1748"
"Eduard Schütt","1856"
"Heinrich Schütz","1585"
"Joseph Schwantner","1943"
"Wolfgang von Schweinitz","1953"
"Anton Schweitzer","1735"
"Heinrich Schwemmer","1621"
"Laura Schwendinger","1962"
"Kurt Schwertsik","1935"
"Salvatore Sciarrino","1947"
"Antonio Scontrino","1850"
"Cyril Scott","1879"
"K. Lee Scott","1950"
"Gil Scott-Heron","1949"
"Alexander Scriabin","1872"
"Peter Sculthorpe","1929"
"Amy Scurria","1973"
"Humphrey Searle","1915"
"Simon Sechter","1788"
"Sholom Secunda","1894"
"Seedo","1700"
"Josef Seger","1716"
"Leif Segerstam","1944"
"Fritz Seitz","1848"
"Carlos Seixas","1704"
"Bernhard Sekles","1872"
"Thomas Selle","1599"
"Bartolomé de Selma y Salaverde","1595"
"Sohail Sen","1984"
"Jean Baptiste Senaillé","1687"
"Ramon Sender","1934"
"Ludwig Senfl","1486"
"Jacob Senleches","1382"
"José Serebrier","1938"
"Claudin de Sermisy","1490"
"Kazimierz Serocki","1922"
"Alexander Serov","1820"
"José Serrano","1873"
"Paolo Serrao","1830"
"John Serry Sr.","1915"
"Adrien-François Servais","1807"
"Esteban Servellón","1921"
"Claudia Sessa","1570"
"Roger Sessions","1896"
"Doc Severinsen","1927"
"Ignaz von Seyfried","1776"
"John Laurence Seymour","1893"
"Giovanni Sgambati","1841"
"Vladimir Shainsky","1925"
"Tolib Shakhidi","1946"
"Ravi Shankar","1920"
"Ralph Shapey","1921"
"Alex Shapiro","1962"
"Michael Jeffrey Shapiro","1951"
"Christopher Shaw","1925"
"Rodion Shchedrin","1932"
"Alexander Shchetynsky","1960"
"Vissarion Shebalin","1902"
"Sinyan Shen","1949"
"Richard Shephard","1949"
"Arthur Shepherd","1880"
"John Sheppard","1515"
"Charles Shere","1935"
"Bright Sheng","1955"
"Gordon Sherwood","1929"
"William Shield","1748"
"Alice Shields","1943"
"Seymour Shifrin","1926"
"Clare Shore","1954"
"Howard Shore","1946"
"Gregory Short","1938"
"Dmitri Shostakovich","1906"
"Hugh Shrapnel","1947"
"Alan Shulman","1915"
"Obadiah Shuttleworth","1675"
"Jean Sibelius","1865"
"Paul Siefert","1586"
"Elie Siegmeister","1909"
"Arlene Sierra","1970"
"Roberto Sierra","1953"
"Albert Siklós","1878"
"Sheila Silver","1946"
"Valentin Silvestrov","1937"
"William Simmes","1575"
"Achille Simonetti","1857"
"Rudolph Simonsen","1889"
"Ezra Sims","1928"
"Christopher Simpson","1602"
"Dudley Simpson","1922"
"Robert Simpson","1921"
"Thomas Simpson","1582"
"Christian Sinding","1856"
"Jean-Baptiste Singelée","1812"
"Alvin Singleton","1940"
"Leone Sinigaglia","1868"
"Giuseppe Sinopoli","1946"
"Nicolas Siret","1663"
"Maddalena Laura Sirmen","1745"
"Larry Sitsky","1934"
"Fredrik Sixten","1962"
"Todor Skalovski","1909"
"Peter Skellern","1947"
"Howard Skempton","1947"
"Matthew Sklar","1973"
"František Škroup","1801"
"Jan Nepomuk Škroup","1811"
"Thomas Sleeper","1956"
"Nicolas Slonimsky","1894"
"Haskell Small","1948"
"Antonio Smareglia","1854"
"Bedřich Smetana","1824"
"Dmitri Smirnov","1948"
"Leo Smit","1900"
"Leo Smit","1921"
"Alice Mary Smith","1839"
"Dave Smith","1949"
"John Christopher Smith","1712"
"John Stafford Smith","1750"
"Julia Smith","1911"
"Robert W. Smith","1958"
"Sydney Smith","1839"
"William Smith","1603"
"Bill Smith","1926"
"Adi Smolar","1959"
"Martin Smolka","1959"
"Ethel Smyth","1858"
"Ragnar Søderlind","1945"
"August Söderman","1832"
"Nikolay Sokolov","1859"
"Mikhail Sokolovsky","1756"
"Juan María Solare","1966"
"Alessandro Solbiati","1956"
"Antonio Soler","1729"
"Temistocle Solera","1815"
"Jean-Pierre Solié","1755"
"Carlo Evasio Soliva","1791"
"Giovanni Sollima","1962"
"Edward Solomon","1855"
"Harry Somers","1925"
"Arthur Somervell","1863"
"Giovanni Battista Somis","1686"
"S. P. Somtow","1952"
"Stephen Sondheim","1930"
"Fernando Sor","1778"
"Kaikhosru Shapurji Sorabji","1892"
"Francesco Soriano","1548"
"Luka Sorkočević","1734"
"Pablo Sorozábal","1897"
"Mauricio Sotelo","1961"
"André Souris","1899"
"John Philip Sousa","1854"
"Leo Sowerby","1895"
"Johannes Spech","1767"
"Benjamin Speed","1979"
"Alexander Spendiaryan","1871"
"Johannes Matthias Sperger","1750"
"Johann Speth","1664"
"Leo Spies","1899"
"Francesco Spinacino","1507"
"Georgia Spiropoulos","1965"
"Louis Spohr","1784"
"Gaspare Spontini","1774"
"Peter Sprague","1955"
"Lewis Spratlan","1940"
"Rudi Spring","1962"
"Richard St. Clair","1946"
"Pieter van der Staak","1930"
"Annibale Stabile","1535"
"Johann Staden","1581"
"Sigmund Theophil Staden","1607"
"Hans Stadlmair","1929"
"John Stainer","1840"
"Camille-Marie Stamaty","1811"
"Anton Stamitz","1754"
"Carl Stamitz","1745"
"Johann Stamitz","1717"
"Jack Stamp","1954"
"Hatto Ständer","1926"
"Charles Villiers Stanford","1852"
"John Stanley","1712"
"Robert Starer","1924"
"Josef Starzer","1726"
"Roman Statkowski","1859"
"Maria Fredrica von Stedingk","1799"
"Christopher Steel","1938"
"Agostino Steffani","1653"
"Daniel Steibelt","1765"
"Johann Ulrich Steigleder","1593"
"Max Steiner","1888"
"Jim Steinman","1948"
"Wilhelm Stenhammar","1871"
"Rudi Stephan","1887"
"George Stephănescu","1843"
"Johann Franz Xaver Sterkel","1750"
"Daniel Sternefeld","1905"
"Bernard Stevens","1916"
"Ernstalbrecht Stiebler","1934"
"William Grant Still","1895"
"Karlheinz Stockhausen","1928"
"Robert Stoepel","1821"
"Petar Stojanović","1877"
"Johannes de Stokem","1445"
"Robert Stolz","1880"
"Thomas Stoltzer","1480"
"Kurt-Heinz Stolze","1926"
"Gottfried Heinrich Stölzel","1690"
"Ingrid Stölzel","1971"
"Nathaniel Stookey","1970"
"Bernardo Storace","1664"
"Stephen Storace","1762"
"Herbert Stothart","1885"
"Alessandro Stradella","1639"
"Robert Strassburg","1915"
"Georg Christoph Strattner","1644"
"Christoph Straus","1575"
"Oscar Straus","1870"
"Johann Strauss I","1804"
"Johann Strauss II","1825"
"Josef Strauss","1827"
"Richard Strauss","1864"
"Igor Stravinsky","1882"
"Soulima Stravinsky","1910"
"Heinrich Strecker","1893"
"Alessandro Striggio","1536"
"Siegfried Strohbach","1929"
"George Strong","1856"
"Barbara Strozzi","1619"
"Delphin Strungk","1600"
"Nicolaus Adam Strungk","1640"
"Clive Strutt","1942"
"Jean-Baptiste Stuck","1680"
"Steven Stucky","1949"
"Morton Subotnick","1933"
"Eugen Suchoň","1908"
"Peeter Süda","1883"
"Dana Suesse","1909"
"Rezső Sugár","1919"
"Josef Suk","1874"
"Stjepan Šulek","1914"
"Arthur Sullivan","1842"
"Herbert Sumsion","1899"
"Franz von Suppé","1819"
"Carlos Surinach","1915"
"Conrad Susa","1935"
"Tielman Susato","1510"
"Franz Xaver Süssmayr","1766"
"Heinrich Sutermeister","1910"
"Margaret Sutherland","1897"
"Johan Svendsen","1840"
"Georgy Sviridov","1915"
"Tomas Svoboda","1939"
"Jan Swafford","1946"
"Donald Swann","1923"
"Giles Swayne","1946"
"Jan Pieterszoon Sweelinck","1562"
"William Sweeney","1950"
"Ferenc Szabó","1902"
"Stanisław Sylwester Szarzyński","1650"
"Tomasz Szadek","1550"
"Zsigmond Szathmáry","1939"
"Tadeusz Szeligowski","1896"
"Albert Szirmai","1880"
"Władysław Szpilman","1911"
"Maria Agata Szymanowska","1789"
"Karol Szymanowski","1882"
"Emil Tabakov","1947"
"Paul Taffanel","1844"
"Walter Taieb","1973"
"Germaine Tailleferre","1892"
"Ayuo Takahashi","1960"
"Yuji Takahashi","1938"
"Tōru Takemitsu","1930"
"Otar Taktakishvili","1924"
"Tan Yan Zhang","1998"
"Josef Tal","1910"
"Joby Talbot","1971"
"Thomas Tallis","1505"
"Louise Talma","1906"
"Yankel Talmud","1885"
"Eino Tamberg","1930"
"David Tamkin","1906"
"Bertha Tammelin","1836"
"Tan Dun","1957"
"Kohei Tanaka","1954"
"Alexander Taneyev","1850"
"Sergei Taneyev","1856"
"Alexandre Tansman","1897"
"Johannes Tapissier","1370"
"Angelo Tarchi","1760"
"Mikael Tariverdiev","1931"
"Vladimir Tarnopolsky","1955"
"Francisco Tárrega","1852"
"Giuseppe Tartini","1692"
"Phyllis Tate","1911"
"Emil Taubert","1844"
"Wilhelm Taubert","1811"
"Franz Tausch","1762"
"Carl Tausig","1841"
"John Tavener","1944"
"John Taverner","1490"
"Deems Taylor","1885"
"Matthew Taylor","1964"
"Raynor Taylor","1747"
"Boris Tchaikovsky","1925"
"Pyotr Ilyich Tchaikovsky","1840"
"Alexander Tcherepnin","1899"
"Ivan Tcherepnin","1943"
"Nikolai Tcherepnin","1873"
"Serge Tcherepnin","1941"
"António Teixeira","1707"
"Jeroen Tel","1972"
"Georg Philipp Telemann","1681"
"Thomas Tellefsen","1823"
"Alec Templeton","1909"
"James Tenney","1934"
"Octave Octavian Teodorescu","1963"
"Domènech Terradellas","1713"
"Claude Terrasse","1867"
"Melchior Teschner","1584"
"John Tesh","1952"
"Flavio Testi","1923"
"George Thalben-Ball","1896"
"Sigismond Thalberg","1812"
"Johann Theile","1646"
"Mikis Theodorakis","1925"
"Károly Thern","1817"
"István Thomán","1862"
"Ambroise Thomas","1811"
"Randall Thompson","1899"
"Robert Scott Thompson","1959"
"César Thomson","1857"
"Virgil Thomson","1896"
"Francis Thorne","1922"
"John Thow","1949"
"Ludwig Thuille","1861"
"Frank Ticheli","1958"
"Otto Albert Tichý","1890"
"Jukka Tiensuu","1948"
"Anton Ferdinand Tietz","1742"
"Ivo Tijardović","1895"
"Frederick C. Tillis","1930"
"Michael Tilson Thomas","1944"
"Christopher Tin","1976"
"Johannes Tinctoris","1435"
"Edgar Tinel","1854"
"Luís Tinoco","1969"
"Dimitri Tiomkin","1894"
"Michael Tippett","1905"
"Boris Tishchenko","1939"
"Jean Titelouze","1562"
"Alexey Nikolayevich Titov","1769"
"Katia Tiutiunnik","1967"
"Rudolf Tobias","1873"
"Helen Tobias-Duesberg","1919"
"Ernst Toch","1887"
"Camillo Togni","1922"
"George Tolhurst","1827"
"Václav Tomášek","1774"
"Henri Tomasi","1901"
"Marko Tomasović","1976"
"Thomas Tomkins","1572"
"Giuseppe Torelli","1658"
"Michael Torke","1961"
"Mel Tormé","1925"
"Francisco de la Torre","1483"
"Tomás de Torrejón y Velasco","1644"
"José de Torres","1665"
"Federico Moreno Torroba","1891"
"Paul Tortelier","1914"
"Paolo Tosti","1846"
"Charles Tournemire","1870"
"Allen Toussaint","1938"
"Donald Tovey","1875"
"Joan Tower","1938"
"Geoffrey Toye","1889"
"Antonio Tozzi","1736"
"Giovanni Maria Trabaci","1575"
"Tommaso Traetta","1727"
"Cornel Trăilescu","1926"
"Jean Balthasar Tricklir","1750"
"Giacomo Tritto","1733"
"Bartolomeo Tromboncino","1470"
"Friedrich Hieronymus Truhn","1811"
"Frankie Trumbauer","1901"
"Harold Truscott","1914"
"Julia Tsenova","1948"
"Eduard Tubin","1905"
"Tui St. George Tucker","1924"
"Erik Tulindberg","1761"
"František Tůma","1704"
"Franz Tunder","1614"
"Joaquín Turina","1882"
"Francesco Turini","1589"
"Daniel Gottlob Türk","1756"
"Mark-Anthony Turnage","1960"
"William Turner","1651"
"Roman Turovsky-Savchuk","1961"
"Marco Tutino","1954"
"Kalervo Tuukkanen","1909"
"Erkki-Sven Tüür","1959"
"Geirr Tveitt","1908"
"Merlijn Twaalfhoven","1976"
"Tyagaraja","1767"
"Christopher Tye","1505"
"Georges Tzipine","1907"
"Tyler Joseph","1988"
"Friedrich Christian Hermann Uber","1781"
"Marco Uccellini","1603"
"Martin Andreas Udbye","1820"
"Nobuo Uematsu","1959"
"Vincenzo Ugolini","1580"
"Alfred Uhl","1909"
"Viktor Ullmann","1898"
"Chinary Ung","1942"
"Benjamin Carl Unseld","1843"
"Erich Urbanner","1936"
"Guillermo Uribe Holguín","1880"
"Juan de Urrede","1430"
"Anton Urspruch","1850"
"Francesco Usper","1561"
"Galina Ustvolskaya","1919"
"Alexander Utendal","1543"
"Francesco Uttini","1723"
"Yolande Uyttenhove","1925"
"Nicola Vaccai","1790"
"Pierre Vachon","1731"
"Jacobus Vaet", 1529"
"Stasys Vainiūnas","1909"
"Fartein Valen","1887"
"Antonio Valente","1565"
"Vincenzo Valente","1855"
"Giovanni Valentini","1582"
"Giuseppe Valentini","1681"
"Jean Vallerand","1915"
"Nicolas Vallet","1583"
"Francesco Antonio Vallotti","1697"
"Francisco Valls","1665"
"David Van Tieghem","1955"
"David Van Vactor","1906"
"Jules Van Nuffel","1883"
"Komitas Vardapet","1869"
"Víctor Varela","1955"
"Edgard Varèse","1883"
"Urbán de Vargas","1606"
"Alexander Egorovich Varlamov","1801"
"Alexander Vladimirovich Varlamov","1904"
"Louis Varney","1844"
"Pēteris Vasks","1946"
"Ralph Vaughan Williams","1872"
"Orazio Vecchi","1550"
"Artemy Vedel","1767"
"Claudio Veggio","1510"
"Václav Jindřich Veit","1806"
"Pavel Josef Vejvanovský","1633"
"Jacob ter Veldhuis","1951"
"Caetano Veloso","1942"
"Ian Venables","1955"
"Gaetano Veneziano","1665"
"Alexander Veprik","1899"
"Antonio Veracini","1659"
"Carl Verbraeken","1950"
"Francesco Maria Veracini","1690"
"Theo Verbey","1959"
"Philippe Verdelot","1480"
"Giuseppe Verdi","1813"
"Cornelis Verdonck","1563"
"Sándor Veress","1907"
"Johannes Verhulst","1816"
"Gaspar de Verlit","1622"
"Pierre Vermont","1495"
"Matthijs Vermeulen","1888"
"Alexey Verstovsky","1799"
"Michael Vetter","1943"
"Nicolaus Vetter","1666"
"Lodovico Grossi da Viadana","1560"
"Pauline Viardot","1821"
"Tomás Luis de Victoria","1548"
"Gerard Victory","1921"
"Jacobus Vide","1405"
"Johann Vierdanck","1605"
"Louis Vierne","1870"
"Henri Vieuxtemps","1820"
"Heitor Villa-Lobos","1887"
"Ángel Villoldo","1861"
"Giovanni Battista Viotti","1755"
"Giulio Viozzi","1912"
"Ezequiel Viñao","1960"
"Leonardo Vinci","1690"
"Carl Vine","1954"
"Param Vir","1952"
"Robert de Visée","1650"
"Ivan Vïshnegradsky","1893"
"Giovanni Battista Vitali","1632"
"Jan August Vitásek","1770"
"Philippe de Vitry","1291"
"Franco Vittadini","1884"
"Antonio Vivaldi","1678"
"Amadeo Vives","1871"
"Giovanni Buonaventura Viviani","1638"
"Claude Vivier","1948"
"Lucrezia Orsina Vizzana","1590"
"Roman Vlad","1919"
"Pancho Vladigerov","1899"
"Wladimir Vogel","1896"
"Georg Joseph Vogler","1749"
"Johann Caspar Vogler","1696"
"Max Vogrich","1852"
"Hans Vogt","1911"
"Robert Voisey","1969"
"Kevin Volans","1949"
"Robert Volkmann","1815"
"Andrei Volkonsky","1933"
"Alexander Voormolen","1895"
"Andy Vores","1956"
"Jan Václav Voříšek","1791"
"Antonín Vranický","1761"
"Albena Petrovic-Vratchanska","1962"
"Jan Vriend","1938"
"Klaas de Vries","1944"
"Alexander Vustin","1943"
"Hubert Waelrant","1517"
"Johan Wagenaar","1862"
"Max Wagenknecht","1857"
"Georg Christoph Wagenseil","1715"
"Ignatz Waghalter","1881"
"Melinda Wagner","1957"
"Richard Wagner","1813"
"Wolfram Wagner","1962"
"Siegfried Wagner","1869"
"Rudolf Wagner-Régeny","1903"
"Adam of Wągrowiec","1629"
"Émile Waldteufel","1837"
"Ernest Walker","1870"
"George Walker","1922"
"William Walker","1808"
"Michael Waller","1985"
"Stewart Wallace","1960"
"William Vincent Wallace","1812"
"Joelle Wallach","1946"
"Craig Walsh","1971"
"Bruno Walter","1876"
"Johann Walter Blanckenmüller","1496"
"Walther von der Vogelweide","1230"
"Johann Gottfried Walther","1684"
"Johann Jakob Walther","1650"
"William Walton","1902"
"Johann Baptist Wanhal","1739"
"Johann Wanning","1537"
"John Ward","1571"
"Robert Ward","1917"
"Peter Warlock","1894"
"Harry Warren","1893"
"Rodney Waschka II","1958"
"Unico Wilhelm van Wassenaer","1692"
"Graham Waterhouse","1962"
"Niel van der Watt","1962"
"Franz Waxman","1906"
"George James Webb","1803"
"Jimmy Webb","1946"
"Samuel Webbe","1740"
"Andrew Lloyd Webber","1948"
"William Lloyd Webber","1914"
"Julie von Webenau","1813"
"Vilma von Webenau","1875"
"Ben Weber","1916"
"Carl Maria von Weber","1786"
"Anton Webern","1883"
"Matthias Weckmann","1616"
"Gaspar van Weerbeke","1445"
"Thomas Weelkes","1576"
"Joseph Weigl","1766"
"Kurt Weill","1900"
"Mieczysław Weinberg","1919"
"Jaromír Weinberger","1896"
"Leó Weiner","1885"
"Felix Weingartner","1863"
"Judith Weir","1954"
"Hugo Weisgall","1912"
"Sylvius Leopold Weiss","1687"
"Michael Weiße","1488"
"Julius Weissenborn","1837"
"Dan Welcher","1948"
"John Weldon","1676"
"Egon Wellesz","1885"
"Johann Baptist Wendling","1723"
"Andreas Werckmeister","1645"
"André Werner","1960"
"Gregor Werner","1693"
"Richard Wernick","1934"
"Giaches de Wert","1535"
"Charles Wesley","1707"
"Charles Wesley junior","1757"
"Samuel Wesley","1766"
"Samuel Sebastian Wesley","1810"
"Martin Wesley-Smith","1945"
"Mark Wessel","1894"
"Peter Westergaard","1931"
"Johann Paul von Westhoff","1656"
"Richard Wetz","1875"
"Christoph Ernst Friedrich Weyse","1774"
"Paul W. Whear","1925"
"Scott Wheeler","1952"
"Eric Whitacre","1970"
"James Whitbourn","1963"
"Benjamin Franklin White","1800"
"John White","1936"
"José White Lafitte","1836"
"Gillian Whitehead","1941"
"Percy Whitlock","1903"
"Thomas Whythorne","1528"
"Erasmus Widmann","1572"
"Jörg Widmann","1973"
"Charles-Marie Widor","1844"
"Henryk Wieniawski","1835"
"Johan Wikmanson","1753"
"Mack Wilberg","1955"
"Philip Wilby","1949"
"John Wilbye","1574"
"Alec Wilder","1907"
"Philip van Wilder","1500"
"Johann Hugo von Wilderer","1670"
"Wilhelmine of Prussia","1709"
"Adrian Willaert","1490"
"Healey Willan","1880"
"Grace Williams","1906"
"John Williams","1932"
"Spencer Williams","1889"
"Malcolm Williamson","1931"
"Richard Storrs Willis","1819"
"Arthur Wills","1926"
"Meredith Willson","1902"
"Johann Wilhelm Wilms","1772"
"Charles Wilson","1931"
"Ian Wilson","1964"
"James Wilson","1922"
"John Wilson","1595"
"Richard Edward Wilson","1941"
"Sandy Wilson","1924"
"Thomas Wilson","1927"
"August Wiltberger","1850"
"Heinz Winbeck","1946"
"Herbert Windt","1894"
"Peter Winter","1754"
"Dag Wirén","1905"
"Michael Wise","1647"
"Peter Wishart","1921"
"Christian Friedrich Witt","1660"
"Franz Xaver Witt","1834"
"Friedrich Witt","1770"
"Robert William Witt","1930"
"Diane Wittry","1964"
"René Wohlhauser","1954"
"Erling Wold","1958"
"Ernst Wilhelm Wolf","1735"
"Hugo Wolf","1860"
"Ermanno Wolf-Ferrari","1876"
"Christian Wolff","1934"
"Joseph Wölfl","1773"
"Joseph Maria Wolfram","1789"
"Oswald von Wolkenstein","1376"
"Stefan Wolpe","1902"
"Hyo-Won Woo","1974"
"Victoria Wood","1953"
"Robert Woodcock","1690"
"John Woolrich","1954"
"Felix Woyrsch","1860"
"Pavel Wranitzky","1756"
"Heinz Wunderlich","1919"
"Charles Wuorinen","1938"
"Alex Wurman","1966"
"Arnold van Wyk","1916"
"Ruth Shaw Wylie","1916"
"Yehudi Wyner","1929"
"Iannis Xenakis","1922"
"Xian Xinghai","1905"
"Xiao Shuxian","1905"
"Spyridon Xyndas","1812"
"Kosaku Yamada","1886"
"Yehuda Yannay","1937"
"Yanni","1954"
"Christopher Yavelow","1950"
"Yitzhak Yedid","1971"
"Benjamin Yeo","1985"
"Dwight Yoakam","1956"
"Takashi Yoshimatsu","1953"
"Makoto Yoshimori","1969"
"Michèl Yost","1754"
"Christopher Young","1957"
"James Young","1949"
"John Young","1962"
"La Monte Young","1935"
"Polly Young","1749"
"Eugène Ysaÿe","1858"
"Théophile Ysaÿe","1865"
"Sergei Yuferov","1865"
"Isang Yun","1917"
"Yoichiro Yoshikawa","1957"
"Zacara da Teramo","1350"
"Jan Zach","1699"
"Nicolaus Zacharie","1420"
"Friedrich Wilhelm Zachow","1663"
"Judith Lang Zaimont","1945"
"Ivan Zajc","1832"
"Giovanni Zamboni","1800"
"Riccardo Zandonai","1883"
"Andrea Zani","1696"
"Frank Zappa","1940"
"Nikolai Zaremba","1821"
"Gioseffo Zarlino","1517"
"Aleksander Zarzycki","1834"
"Záviš of Zápy","1350"
"Isidora Žebeljan","1967"
"Kristoffer Zegers","1973"
"Friedrich Zehm","1923"
"Jan Dismas Zelenka","1679"
"Władysław Żeleński","1837"
"Carl Zeller","1842"
"Carl Friedrich Zelter","1758"
"Alexander von Zemlinsky","1871"
"Hans Zender","1936"
"Juan García de Zéspedes","1619"
"Zhu Jian'er","1922"
"Marc'Antonio Ziani","1653"
"Otakar Zich","1879"
"Adrian von Ziegler","1989"
"Karl Michael Ziehrer","1843"
"Mikołaj Zieleński","1560"
"Hermann Zilcher","1881"
"Winfried Zillig","1905"
"Hans Zimmer","1957"
"Agnes Zimmermann","1845"
"Anton Zimmermann","1741"
"Bernd Alois Zimmermann","1918"
"Heinz Werner Zimmermann","1930"
"Margrit Zimmermann","1927"
"Pierre-Joseph-Guillaume Zimmermann","1785"
"Udo Zimmermann","1943"
"Walter Zimmermann","1949"
"Niccolò Antonio Zingarelli","1752"
"Domenico Zipoli","1688"
"Farid Zoland","1955"
"Alfred Hans Zoller","1928"
"Carl Friedrich Zöllner","1800"
"Heinrich Zöllner","1854"
"John Zorn","1953"
"Marija Zubova","1749"
"Carlo Zuccari","1703"
"Manuel de Zumaya","1678"
"Emilie Zumsteeg","1796"
"Johann Rudolf Zumsteeg","1760"
"Ralph Zurmühle","1959"
"Bernard Zweers","1854"
"Ellen Taaffe Zwilich","1939"
